date,event,janComment,ashComment
August 2003,Britney & Madonna Kiss,,
January 2004,Janet's Boob,,
January 2004,The L Word,,
January 2004,Saved! movie,,
April 2004,Mean Girls,,
July 2004,Cat Woman (Halle),,
February 2005,Alex/Marissa The OC,,
July 2005,Hayley Williams,,
November 2005,South of Nowhere,,
January 2006,Desperate Housewives - Gabrielle and Susan kiss,,
January 2006,Fun Home (book + play),,
October 2006,Oprah - Wives Living Two Lives episode,,
February 2007,Like a Boy (Ciara),,
February 2007,Shakira/Beyoncé,,
October 2007,Tila Tequila Shot at Love (Dani),,
April 2008,I Kissed A Girl,,
September 2008,Rachel Maddow,,
October 2008,Grey's Anatomy (Callie / Arizona) + Erica Hahn,,
October 2008,If I Were a Boy (Beyoncé),,
October 2008,Dearly Not Queerly / No Homo / That's so Gay (HIllary Duff),,
November 2008,Lindsay Lohan / Samantha Ronson,,
November 2008,American Apparel Legalize Gay underwear,,
November 2008,Prop 8,,
February 2009,RuPaul,,
March 2009,Autostraddle,,
July 2009,Shakira She Wolf Video,,
April 2010,Lady Gaga Strap on Photoshoot ,,
December 2010,Don't Ask Don't Tell repeal (Katie Miller),,
September 2011,"Glee (Santana, Brittney)",,
June 2013,US v. Windsor (Edie Windsor),,
July 2013,Orange is the New Black (the real Piper lived in Jan's neighborhood and we'd go to the same wine bar),,
October 2013,Blue is the Warmest Color,,
November 2013,Frozen,,
January 2014,Shakira + Rhianna Can't Remeber to Forget You video,,
January 2015,"Kate McKinnon (specifically as Justin Bieber, CK)",,
May 2015,Carol / Price of Salt,,
June 2015,Supreme Court Marriage,,
August 2015,Fucking Kim Davis,,
December 2015,Sarah Paulson + Holland Taylor,,
June 2016,Pulse,,
August 2016,Megan Rapinoe / Sue Bird,,
February 2017,"Kristen Stewart ""I’m, like, so gay, dude.""",,
March 2017,Zelda BOTW Great Fairies,,
January 2018,Lesbian Masterdoc /TikTok,,
April 2018,Janelle Monae (Pynk),,
April 2018,Disobedience - Rachel Weisz,,
April 2018,Killing Eve,,
May 2018,Hayley Kiyoko / Kehlani,,
January 2019,Sex Education,,
May 2019,RWRB,,
September 2019,Woxer,,
October 2020,"Lauren Jauregui x Becky G interview ""Camren""",,
December 2020,Layshia Clarendon (trans non-binary),,
March 2021,Cardi and Megan WAP scissoring,,
June 2021,Lego Pride set,,
June 2021,Queen Latifah comes out,,
January 2022,Amy Schneider Jeopardy,,
June 2022,Repeal of Roe,,
August 2022,League of Their Own (tv),,
May 2023,Queer Ultimatum,,
August 2023,Bottoms,,
August 2023,Reneé Rapp,,
September 2023,Chappell Roan (knee deep in the passenger seat),,
May 2024,Megan G6 Freestyle - strap on,,
July 2024,Ilona Maher,,
July 2024,Melissa Etheridge David Crosby sperm donor,,
September 2024,Alex Morgan and the Lesbians,,
February 2025,Kehlani KWN Worst Behavior,,
April 2025,Studyoncé,,
July 2025,Stud Budz,,
July 2025,Hunting Wives,,
August 2025,K-Pop Demon Hunters,,
December 2025,END,,
